nicholas.damore@vanderbilt.edu,dn1,3.25,2,N,N,N
quinton.damore@vanderbilt.edu,dq1,3.05,2,Y,N,N
stamm.dakota@vanderbilt.edu,ds1,3.7,3,N,N,N
streich.dereck@vanderbilt.edu,ds2,4,3,Y,N,Y
theo.donnelly@vanderbilt.edu,dt1,3.01,1,N,N,N
urban.dickinson@vanderbilt.edu,du1,2.34,1,N,N,Y
blick.elsa@vanderbilt.edu,eb1,2.38,1,N,N,Y
berge.eugene@vanderbilt.edu,eb2,2.67,3,Y,N,N
crist.eula@vanderbilt.edu,ec1,3.59,3,N,N,N
fay.emory@vanderbilt.edu,ef1,2.3,2,N,N,N
queen.ernser@vanderbilt.edu,eq1,3,3,N,Y,N
wendy.emard@vanderbilt.edu,ew1,2.85,2,N,N,Y
alek.feil@vanderbilt.edu,fa1,3.37,1,N,Y,N
powlowski.fred@vanderbilt.edu,fp1,3.05,1,Y,N,N
ritchie.ferne@vanderbilt.edu,fr1,2.72,1,Y,N,N
conor.gleason@vanderbilt.edu,gc1,3.81,1,N,N,Y
grady.giuseppe@vanderbilt.edu,gg1,2.28,1,N,N,Y
hane.gunner@vanderbilt.edu,gh1,3.56,1,Y,N,Y
leatha.grady@vanderbilt.edu,gl1,2.8,2,N,N,N
stiedemann.garrison@vanderbilt.edu,gs1,2.53,1,N,N,N
alverta.hagenes@vanderbilt.edu,ha1,2.38,3,N,Y,Y
bruen.hanna@vanderbilt.edu,hb1,3.98,1,N,Y,N
caitlyn.hand@vanderbilt.edu,hc1,3.76,3,Y,N,Y
kane.hill@vanderbilt.edu,hk1,2.31,3,N,N,Y
katharina.hahn@vanderbilt.edu,hk2,3.22,2,Y,N,Y
lori.heaney@vanderbilt.edu,hl1,2.4,3,Y,N,N
feeney.isom@vanderbilt.edu,if1,3.69,3,N,Y,Y
steuber.idella@vanderbilt.edu,is1,3.04,3,N,Y,N
batz.jensen@vanderbilt.edu,jb1,3.63,2,N,Y,Y
corkery.jeramie@vanderbilt.edu,jc1,3.27,3,Y,N,Y
jayson.jacobs@vanderbilt.edu,jj1,3.97,2,N,Y,Y
koepp.jabari@vanderbilt.edu,jk1,2.99,1,Y,N,N
lynch.joy@vanderbilt.edu,jl1,4,1,Y,N,N
tintin.milou@vanderbilt.edu,2.03n,z,2,Y,Y,Y
miller.javon@vanderbilt.edu,jm1,2.54,3,N,N,Y
reichel.jeffry@vanderbilt.edu,jr1,2.54,3,Y,N,N
schiller.jerrod@vanderbilt.edu,js1,4,1,Y,N,N
tierra.jenkins@vanderbilt.edu,jt1,3.41,1,N,Y,Y
anderson.kaitlin@vanderbilt.edu,ka1,3.99,1,Y,N,N
emmie.kassulke@vanderbilt.edu,ke1,2.54,1,N,N,N
franz.kiehn@vanderbilt.edu,kf1,3.6,1,N,Y,N
jo.kemmer@vanderbilt.edu,kj1,3.03,3,N,N,Y
kaden.king@vanderbilt.edu,kk1,2.74,1,N,Y,N
kenton.kulas@vanderbilt.edu,kk2,3.95,1,N,N,Y
maye.kling@vanderbilt.edu,km1,3.1,3,Y,N,Y
macey.kutch@vanderbilt.edu,km2,3.15,1,N,N,N
muller.kristy@vanderbilt.edu,km3,3.84,3,N,N,Y
nienow.kip@vanderbilt.edu,kn1,3.24,3,N,N,Y
padberg.kip@vanderbilt.edu,kp1,2.28,1,Y,N,Y
spinka.karine@vanderbilt.edu,ks1,2.39,1,N,N,Y
aubree.larson@vanderbilt.edu,la1,3.77,3,Y,N,Y
bianca.castafiore@vanderbilt.edu,bcd,3.5,2,Z,N,N
bins.leonora@vanderbilt.edu,lb1,3.49,3,Y,N,N
champlin.leanne@vanderbilt.edu,lc1,2.28,2,N,Y,Y
hahn.ludie@vanderbilt.edu,lh1,4,3,N,N,N
hahn.lorena@vanderbilt.edu,lh2,2.61,1,N,N,Y
hodkiewicz.lacey@vanderbilt.edu,lh3,2.73,1,N,N,Y
kerluke.lea@vanderbilt.edu,lk1,3.2,2,N,Y,Y
capitaine.haddock@vvanderbilt.edu,lk1,3.2,2,N,Y,Y
ratke.lora@vanderbilt.edu,lr1,3.51,2,Y,N,N
von.lupe@vanderbilt.edu,lv1,3.76,1,N,Y,N
emmie.murphy@vanderbilt.edu,me1,3.1,3,N,N,N
elinore.mosciski@vanderbilt.edu,me2,3.17,1,N,Y,Y
garry.murphy@vanderbilt.edu,mg1,2.24,3,N,N,N
gardner.mraz@vanderbilt.edu,mg2,3.61,1,N,Y,Y
jon.murazik@vanderbilt.edu,mj1,2.39,1,Y,N,N
jast.montana@vanderbilt.edu,mj2,3.62,1,N,N,Y
justine.mueller@vanderbilt.edu,mj3,2.47,1,N,N,N
krystina.metz@vanderbilt.edu,mk1,3.87,1,N,N,Y
larson.magnolia@vanderbilt.edu,ml1,3.92,1,N,N,Y
lockman.molly@vanderbilt.edu,ml2,3.02,1,N,N,N
marquardt.mario@vanderbilt.edu,mm1,2.98,2,N,Y,N
neoma.mclaughlin@vanderbilt.edu,mn1,2.83,1,N,N,Y
reina.mayer@vanderbilt.edu,mr1,3.14,3,N,N,N
trantow.meta@vanderbilt.edu,mt1,3.8,1,N,N,Y
turcotte.mabelle@vanderbilt.edu,mt2,2.63,3,N,N,N
wolff.martine@vanderbilt.edu,mw1,3.37,1,Y,N,N
weissnat.madyson@vanderbilt.edu,mw2,3.35,2,N,Y,Y
zemlak.meta@vanderbilt.edu,mz1,2.62,1,N,N,N
clark.nicolas@vanderbilt.edu,nc1,2.49,3,N,N,N
witting.nicholas@vanderbilt.edu,nw1,2.25,2,N,N,N
cartwright.oceane@vanderbilt.edu,oc1,3.11,1,N,Y,Y
drew.ortiz@vanderbilt.edu,od1,3.08,1,Y,N,Y
jada.okon@vanderbilt.edu,oj1,3.21,2,Y,N,N
nannie.okon@vanderbilt.edu,on1,2.28,1,Y,N,Y
eleanore.paucek@vanderbilt.edu,pe1,4,3,Y,N,Y
grant.precious@vanderbilt.edu,pg1,3.65,2,Y,N,Y
luigi.pfannerstill@vanderbilt.edu,pl1,3.42,1,Y,N,Y
manuela.prohaska@vanderbilt.edu,pm1,2.82,3,N,Y,N
assunta.reichert@vanderbilt.edu,ra1,2.79,2,N,N,Y
barney.rolfson@vanderbilt.edu,rb1,2.87,3,Y,N,Y
brennon.romaguera@vanderbilt.edu,rb2,3.45,2,N,N,N
dach.rickie@vanderbilt.edu,rd1,3.69,2,N,Y,Y
hammes.regan@vanderbilt.edu,rh1,2.68,3,N,N,N
joe.rempel@vanderbilt.edu,rj1,2.26,1,N,Y,Y
pouros.raleigh@vanderbilt.edu,rp1,2.56,3,N,N,Y
ryan.raymond@vanderbilt.edu,rr1,2.98,3,N,N,Y
reynolds.roger@vanderbilt.edu,rr2,3.48,1,N,Y,N
santiago.russel@vanderbilt.edu,rs1,2.9,2,Y,N,N
werner.runte@vanderbilt.edu,rw1,2.61,2,N,N,N
abernathy.sonya@vanderbilt.edu,sa1,2.76,2,N,N,N
brad.satterfield@vanderbilt.edu,sb1,3.97,1,N,N,N
diana.swift@vanderbilt.edu,sd1,3.89,2,Y,N,Y
dallin.schulist@vanderbilt.edu,sd2,3.14,2,N,Y,Y
efrain.simonis@vanderbilt.edu,se1,3.98,3,Y,N,N
greenfelder.sylvan@vanderbilt.edu,sg1,3.46,1,N,N,Y
harmony.smith@vanderbilt.edu,sh1,2.68,2,N,N,N
kariane.streich@vanderbilt.edu,sk1,3.73,1,N,N,N
reilly.sheridan@vanderbilt.edu,sr1,2.65,3,N,Y,Y
branson.trantow@vanderbilt.edu,tb1,3.21,2,Y,N,N
cameron.tromp@vanderbilt.edu,tc1,2.83,2,Y,N,Y
era.toy@vanderbilt.edu,te1,2.66,3,N,N,Y
emard.tiffany@vanderbilt.edu,te2,4,3,N,N,Y
nasir.tremblay@vanderbilt.edu,tn1,3.57,2,N,Y,N
forrest.veum@vanderbilt.edu,vf1,2.26,1,N,N,N
goyette.violet@vanderbilt.edu,vg1,3.72,1,Y,N,N
reinger.vaughn@vanderbilt.edu,vr1,4,3,Y,N,N
ana.weissnat@vanderbilt.edu,wa1,2.76,1,N,Y,Y
esmeralda.ward@vanderbilt.edu,we1,3.58,3,N,Y,Y
mozell.welch@vanderbilt.edu,wm1,4,2,N,N,N
princess.weber@vanderbilt.edu,wp1,2.35,3,N,N,N
rashawn.wolff@vanderbilt.edu,wr1,2.26,1,Y,N,N
sally.yundt@vanderbilt.edu,ys1,4,1,N,Y,Y
koch.zoie@vanderbilt.edu,zk1,3.64,1,N,N,N
mariela.zemlak@vanderbilt.edu,zm1,2.76,2,N,Y,N
turcotte.zoila@vanderbilt.edu,zt1,3.24,1,N,N,Y
vonrueden.zachariah@vanderbilt.edu,zv1,3.21,2,N,Y,Y
